circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,65,58.0,188230,2108.72
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA- SHAREEF GALLI,NON-DOMESTIC AND COMMERCIAL,2,129,99.0,11838,175.85
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA-GOKUL THEATER,NON-DOMESTIC AND COMMERCIAL,2,373,346.0,50479,739.6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRRAGADDA- J K POINT,NON-DOMESTIC AND COMMERCIAL,2,197,163.0,27723,286.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GOUTHAM PURI,NON-DOMESTIC AND COMMERCIAL,2,26,25.0,3338,66.6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,215,183.0,234296,2161.8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,HEMAWATHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,96,92.0,11167,136.13
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,JANAPRIYA APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,1,,0,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,61,59.0,16807,153.34
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR (EXTN) NEAR AVANTH,NON-DOMESTIC AND COMMERCIAL,2,39,34.0,4017,46.48
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTINAGAR (NORTH)- COMMIT HALL,NON-DOMESTIC AND COMMERCIAL,2,123,116.0,18642,236.7
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NATRAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,73,69.0,7905,72.7
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR II- BILLAL CAFE,NON-DOMESTIC AND COMMERCIAL,2,41,39.0,7670,42.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR-EK MINAR MASJID,NON-DOMESTIC AND COMMERCIAL,2,93,91.0,14708,139.38
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA-BANJARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,224,219.0,26810,430.61
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW SHASTRY NAGAR- JANAPRIYA O,NON-DOMESTIC AND COMMERCIAL,2,58,51.0,8613,164.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,OLD SHASTRY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,410,7.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,OLD SULTAN NAGAR,NON-DOMESTIC AND COMMERCIAL,2,13,10.0,2833,20.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PANDURANGA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,162,155.0,23904,340.24
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR - II,NON-DOMESTIC AND COMMERCIAL,2,27,27.0,2713,44.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR-OM JHANDA,NON-DOMESTIC AND COMMERCIAL,2,80,71.0,6920,125.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,S.N.R.CO-OP SOCIETY,NON-DOMESTIC AND COMMERCIAL,2,102,94.0,16485,212.83
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SANJAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,11,10.0,895,22.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (B),NON-DOMESTIC AND COMMERCIAL,2,58,55.0,6046,83.38
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,25,24.0,4803,55.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR POCHAMMA TEMP,NON-DOMESTIC AND COMMERCIAL,2,53,53.0,7068,75.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,5,5.0,555,10.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTAN NAGAR- MOHAMMADIA,NON-DOMESTIC AND COMMERCIAL,2,73,66.0,7467,103.72
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTHAN NAGAR II- UP GALLI,NON-DOMESTIC AND COMMERCIAL,2,75,74.0,11944,132.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,VENKATESWARA COLONY,NON-DOMESTIC AND COMMERCIAL,2,31,29.0,2945,64.5
